,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,BAD
0,-0.43418354552234384,-0.31667665845409376,-0.3060617406907404,0.42588001747909393,0.0722475663692714,0.08520795886417824,-0.07808697887919012,-0.10447949841409414,-0.2640594237620108,-0.013940160577980186,-0.3427958461505251,-0.4682185557337681,1
1,-0.4530658440314836,-0.029333859502693783,-0.1714819166157703,0.44953642257841264,0.07626071004196157,-0.04408785091534002,-0.08242448505354062,0.43337856822307624,-0.18495914657961515,-0.18871925337906478,-0.21430513697911344,-0.49422674436637914,1
2,-0.4115800875889311,-0.3855902460186306,-0.40278786815207474,0.4131479209173804,0.07008765523559742,-0.14610165624298543,-0.075752492839701,-0.10135598238156993,-0.08328658388155336,-0.013523405944561986,-0.3054296727899755,-0.45422070746918963,1
3,-0.5492355091888366,0.048314838429936814,-0.04770389850760354,-0.23477591638151324,0.09352889066300454,-0.38282662261019657,-0.10108836708031209,-0.1352550968118639,-0.1799586111702505,-0.23145211217653633,-0.03789544604319015,-0.6061375393848456,1
4,-0.4214294814944351,0.15436849745726472,0.050943915804477886,0.4280388037478425,-0.4389443484556423,-0.18783020216442936,-0.07848280185949873,-0.10500910510444127,-0.2687569216241734,-0.17969436824992874,-0.20405669009735602,-0.47059195609867477,0
5,-0.47414253034964554,-0.3234400543065754,-0.3389311342128621,0.48157855681370343,0.08169643401295279,0.0348166181509992,-0.08829955163704885,-0.11814380576179298,-0.2726304975363477,-0.015763318628173317,-0.4192378253539802,0.2092980495955353,1
6,-0.30342705708911766,-0.12208200070134748,-0.1586985336407625,0.3100193041531127,0.052592606680957624,-0.08322311092202556,0.7033361779455564,0.2988761653277487,-0.2328739496005403,-0.010147738106496672,-0.08674728319443034,-0.34083963765048875,1
7,-0.45437018875342705,-0.32637556351513825,-0.312266786020193,0.46424182173010287,0.07875537815878748,0.11265652198564349,-0.08512078482305133,-0.11389065156030116,-0.3075903692356422,-0.1948927063167164,-0.4041453445689638,0.1973745591569206,1
8,-0.40865286570404535,-0.2698435008202957,-0.2662535025207834,0.4225593284122153,0.07168423469390628,-0.18542572165697477,-0.07747811589809842,0.40737112175743107,0.13131762873436456,-0.013831465788551368,-0.2569158869161957,-0.4645677428871401,1
9,-0.333142010304199,0.030187924466301527,-0.1557248492667063,0.3444788375520355,0.6759792341234615,0.2303168280993427,-0.06316171364761022,-0.08450966160550995,-0.15751733005790672,-0.14461517635174184,-0.18683228451486864,-0.37872493937187146,1
10,-0.47899279479889806,-0.39301372144462915,-0.0428554612750599,-0.21091421262354373,0.08402298087375042,0.4155338735053003,-0.09081414174312916,-0.12150829900729013,-0.16166832341576826,-0.20792822684777815,-0.03404390146742836,-0.5445320960995877,1
11,-0.3767297338053809,-0.3209518214283066,-0.32120342560030496,0.38954985189068386,-0.3994747775948807,0.09453118913431434,-0.07142568284146533,0.13999067888257458,-0.15820718847638693,-0.01275097977272696,-0.3135532676248044,-0.42827665434552314,1
12,-0.45089512736470183,-0.20971327477480947,-0.2495691334934677,0.4662390948251769,0.07909420157047999,-0.20459309453066132,-0.08548699365086672,-0.11438063484809312,-0.31847140343767244,0.16520874243951306,0.11436226979426554,-0.5125899000799677,1
13,-0.5136217914653642,-0.0796306634177681,-0.08676289127273586,-0.22616234922425704,0.40746203343998094,-0.25567624975276293,-0.09737959042176979,-0.130292795406736,-0.11647567279770356,-0.2229604902817176,0.09541182510120078,-0.5838992856384895,0
14,-0.49141949054660683,-0.025928018753137876,-0.10434758770589392,0.5112206673721795,0.08672501075288849,-0.006588912000066066,-0.09373456329788116,0.18371494158420898,-0.2058093870201261,-0.21461482943931293,-0.17660114361293022,-0.562043281474236,1
15,-0.36616718821114175,-0.29426689370074516,-0.2945041656787266,0.3832430328794111,0.06501450013412595,-0.2661132975127074,-0.07026929976943658,0.13772422730855274,0.36338205909307364,-0.1608887186779957,-0.3336319140733309,-0.42134284771563735,1
16,-0.2283867344162146,0.06109952184148702,0.0026569462628673003,0.23903732389212298,0.18339026587953808,-0.023443354908843913,0.3469240952711291,0.8086207554288828,-0.0964141913536771,-0.007824313286430325,0.011563315770888621,-0.26280103777052394,1
17,-0.4850415245895024,-0.39953941367137197,-0.043925611092383306,-0.2161809814178712,0.08612113067678005,0.46915555507763085,-0.09308187458989585,-0.12454250001964982,-0.16570536610817882,-0.2131204321667073,-0.03489401657183738,-0.48025437765453866,1
18,-0.4125122169893288,-0.30746060742570785,-0.30657267381815184,0.43439679058030395,0.0736923773597563,-0.13511375943161077,-0.07964856677713768,-0.10656888543673075,-0.4005267608169067,-0.014218936711549114,-0.15006234077468958,-0.47758201735980343,1
19,-0.4483367415253902,0.2033841174521054,0.1047108856768386,0.47212187566047026,-0.48415056599757034,-0.24739246548493254,-0.0865656274537758,-0.115823834730045,-0.30482850375484205,-0.1982008206754952,-0.2560610376704669,0.09736952191000627,0
20,-0.4422181792210598,-0.2621691461547679,-0.29630947472514296,0.4656787117528289,0.07899913650156379,-0.2043471895686648,-0.08538424494386301,0.16734874543793998,-0.1900683261980398,-0.015242875347867318,-0.22200056568951188,-0.5119738069503921,1
21,-0.3380073851692089,-0.1336029805003609,-0.1160812444842734,0.3581354088433322,-0.15325239604954285,-0.09613963535816922,0.22705501853730692,-0.08785997544981008,-0.47871058710733266,-0.011722703350789902,-0.49983113250636546,-0.393739168318643,1
