,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,REASON_DebtCon,REASON_HomeImp,JOB_Mgr,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self,BAD
0,-0.40413881222146597,-0.27527838411161554,-0.310164432117689,0.06497825525450283,-0.07178427902043796,-0.09839065119189501,-0.25034716776569976,-0.0234018213919501,-0.33502185238692117,-0.4064946577852511,0.4064946577852511,-0.10117159840665883,-0.11433891076115345,0.3050992476507741,-0.1407986607874285,-0.03537515246482081,-0.04720891061778435,1
1,-0.41863346788279193,-0.022758478266039335,-0.18085395397457527,-0.05441765534001571,-0.07521089475265556,0.3945855088580701,-0.1762981437606026,-0.1818334111098685,-0.21662449812249868,-0.42589864161620633,0.42589864161620633,-0.10600101503498709,-0.11979686779248677,0.3196631312218586,-0.14751967146989295,-0.03706378200348399,-0.04946242347646609,1
2,-0.38371355739238094,-0.336317031326115,-0.40287137125662553,-0.14781181881526112,-0.06973631688133576,-0.09558362531892857,-0.08324214213138864,-0.02273418155700657,-0.3005423984928951,-0.39489761062880513,0.39489761062880513,-0.09828523378871375,-0.11107689067179156,0.29639495032573654,-0.13678176000547804,-0.03436592072353252,-0.04586206890128602,1
3,-0.37350867328749965,0.13152701834858965,0.030180227036061647,-0.17752719237611075,-0.06867773443538815,-0.09413268623284483,-0.2424674842453015,-0.16603853418780637,-0.19780750918045573,-0.3889031489587167,0.3889031489587167,-0.0967932848611323,0.5448138550935794,-0.2041742916071943,-0.13470544200442844,-0.03384425336219679,-0.045165892457721436,0
4,-0.39538735028156624,-0.2515516341497654,-0.3079823689233127,0.015060955512802943,-0.0727006074658079,-0.09964661076515947,-0.2320564377494698,-0.023700546334340416,-0.3652792396353544,-0.4116835741176628,0.4116835741176628,-0.10246305685339159,-0.11579845033963455,0.3089938485731262,-0.1425959598577832,-0.03582671733257667,-0.047811533758454004,1
5,-0.2840143134106649,-0.10576171893281948,-0.16525200053464031,-0.08689725625972511,0.6981564630052478,0.27559408203832336,-0.22095840389670068,-0.01712497036720535,-0.09498129901801494,-0.29746440896238374,0.29746440896238374,-0.07403528963402863,-0.08367085731526998,0.2232653385207622,-0.10303355680495539,-0.025886807165523187,-0.03454650737893842,1
6,-0.3830862021604339,-0.2567497914235488,-0.28761673221105705,0.08062236613362574,-0.07085423174960188,-0.09711588800048994,-0.2636236905869593,-0.17130053688324667,-0.3560022508837251,-0.4012280555118623,0.4012280555118623,-0.09986080486985328,-0.11285751966334073,0.30114633865058826,-0.1389744534262953,-0.03491682698667608,-0.04659726529546087,1
7,-0.38161675530994366,-0.23485262594541506,-0.27266692583518526,-0.18462868535747243,-0.07142500060087481,0.3747232405620204,0.11534993032975817,-0.02328469589428779,-0.2567701874273417,-0.4044601627648531,0.4044601627648531,-0.10066523723014172,-0.11376664753425467,0.30357223397867655,-0.14009396721085984,-0.03519810076153982,-0.04697263126766054,1
8,-0.3402540824934875,-0.27084910362755105,-0.313484083397517,0.07246293311002608,-0.06368338839527418,0.1234102616784391,-0.14742127968243499,-0.02076091452330507,-0.29721447422194014,-0.3606215389440889,0.3606215389440889,-0.08975433456770614,0.5051941888049987,-0.1893264362845815,-0.12490946378255573,-0.031383049390491455,-0.041881362209324056,1
9,-0.4167949963468725,-0.17981111518390552,-0.255770006478032,-0.20164814874702244,-0.07800910848460664,-0.1069226728670542,-0.2990107442133109,0.13773624778804788,0.08197300096435362,-0.44174415749936496,0.44174415749936496,-0.1099447720777283,-0.12425389814166804,0.3315561656861494,-0.15300812592582655,-0.03844273626405045,-0.051302667938955215,1
