,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,BAD
0,-0.48301574513134865,-0.3290052571030028,-0.37070011531203717,0.48583138784121666,0.08452984192336938,0.07766024798897453,-0.0857946229642821,-0.11759383722187206,-0.29920814364547543,-0.027969222097058277,-0.40040902970060804,1
1,-0.5111572553323009,-0.027788416785792,-0.22082517959486384,0.5200281329615214,0.09047973633459226,-0.0664447099413691,-0.09183354290158571,0.4817943647024911,-0.21526247230209397,-0.22202111030609953,-0.26450150882116125,1
2,-0.4531763415200239,-0.3971997311822644,-0.4758022504337452,0.4663850182305657,0.08114636652365112,-0.17456985293752025,-0.08236052218256162,-0.11288690951036194,-0.098311275962598,-0.026849698237065227,-0.3549488987207928,1
3,-0.4757249302433314,0.16752136189574868,0.038439499343050035,0.4953323353414863,-0.4712440898947206,-0.22611017427274885,-0.08747242771092702,-0.11989350929280342,-0.3088223521387569,-0.21147747226046204,-0.251940504294653,0
4,-0.47517882459324795,-0.30231622168659217,-0.3701350080021687,0.49476372148544845,0.0860839793666267,0.018100344213664032,-0.08737201424936002,-0.11975587824033862,-0.27888678090122043,-0.028483454873682,-0.43899472154239877,1
5,-0.309998589390135,-0.11543778652184944,-0.1803707934450627,0.3246792250177013,0.05649096425922606,-0.09484742701483977,0.7620303220151222,0.3008079967878876,-0.24117373768705572,-0.01869172223551102,-0.10367107333584691,1
6,-0.4553498930269736,-0.3051819392086829,-0.3418714835107133,0.47691394554647515,0.08297829542719769,0.09583061354727024,-0.08421986139343618,-0.11543540060396874,-0.31335250038025525,-0.20361391432360423,-0.4231569446852,1
7,-0.45512553921368537,-0.28009102465206104,-0.32518928983001877,0.4823691494344933,0.08392744678681432,-0.22019271640572005,-0.0851832144671136,0.4469041637812102,0.13756916725774665,-0.02776990167978162,-0.306230448167701,1
8,-0.41562568835957525,-0.33084642015699983,-0.38292571538611087,0.4405048552614945,-0.419082896069762,0.08851460718325076,-0.07779025587257318,0.1507475665974362,-0.18007740097588473,-0.025359782097215924,-0.363052133081423,1
9,-0.5186522303713387,-0.223753732057945,-0.3182756162732865,0.5496985197727237,0.09564208930256445,-0.2509273456125055,-0.09707313777622453,-0.1330526595708226,-0.3720836160474489,0.17139652045821988,0.10200573460102415,1
10,-0.6312127935998721,-0.08784352302943467,-0.1376614407951949,-0.2636149295732382,0.4928298740528524,-0.332873161742886,-0.11814044728076431,-0.16192842915851613,-0.1524965150708055,-0.28562192471920406,0.08192400302577685,0
11,-0.5799201994053268,-0.024776198067776607,-0.1525200290439565,0.6183244740788156,0.10758232456630627,-0.02819175040147417,-0.10919202927357566,0.21160018719813814,-0.2506483447207418,-0.26398780674154715,-0.23645456895175682,1
12,-0.3983955632447859,-0.29892818960625556,-0.34742824962220725,0.42734461408784863,0.0743537234927589,-0.3004294778730481,-0.07546624396665454,0.1462439287621964,0.38556758742369496,-0.18245075542891104,-0.3791749914502504,1
13,-0.23623235231614706,0.06122451886944052,-0.007773887693169851,0.25339796109521506,0.18667064647032855,-0.03237700608392223,0.38157146274330955,0.8269707602677879,-0.10290546287655919,-0.014588073208497898,-0.0009526421001961236,1
14,-0.4609100288576222,-0.32047160960956245,-0.37308600538126785,0.49740630737443753,0.08654376309624069,-0.16574342347987184,-0.08783867751087544,-0.12039550717879692,-0.45175313767040814,-0.028635588048872906,-0.19021403637520554,1
15,-0.4490508502986476,0.19515332540061348,0.08758628217806418,0.4846080824581039,-0.4610413624948502,-0.26103867526460045,-0.085578595291429,-0.11729774030904473,-0.31047561291745773,-0.20689885356379215,-0.2770688315752921,0
16,-0.5024985406616854,-0.27717894979272967,-0.36895682743323843,0.5422879258910253,0.09435271948197356,-0.247544544703899,-0.09576447570964451,0.18557930575978537,-0.22274921092392366,-0.031219414429345782,-0.2758234901577672,1
17,-0.36153848081820117,-0.1320840431764352,-0.14410643524628355,0.39255190401981455,-0.1525808912028292,-0.11467483964835092,0.26089501624050204,-0.0950158550017953,-0.5140921701666443,-0.022599139666417897,-0.5464916471887463,1
18,-0.4444908972758377,-0.3122529878282753,-0.35838178136429644,0.48262012843065977,0.3555317137689686,0.13663776975608619,-0.0852275357046601,-0.11681656278911011,-0.39361879319036647,0.15048141434020076,-0.001814396022596049,1
19,-0.4639457030314712,-0.27712318792208845,-0.33535716493240125,0.5037438025259487,0.3710928883031018,0.1426182325412172,-0.08895783741011105,-0.1219294763538902,-0.3986590323641721,-0.02900043645897518,-0.033684436412787955,1
20,-0.45956455236721927,0.1733282004854393,0.06858401824792058,0.49898682885289025,-0.47472086366039945,-0.1867728463085948,-0.0881177871932147,-0.12077806703415889,-0.3093457052324104,-0.2130377238229835,-0.28528970656134917,0
21,-0.43905912454922635,-0.3983462619134253,-0.470001835385839,0.47965528430391435,0.08345526117627043,0.3722998796034363,-0.08470396376104347,-0.11609893233880526,-0.14836020750038204,-0.02761366497198901,-0.09261454282360178,1
22,-0.3842526161675594,-0.28868430233343423,-0.3332376792177957,0.41978127215007754,0.07303777702570781,0.04985381560727145,0.27899200256974166,0.3889179036867898,0.3049865439987612,-0.17922165787012015,-0.34597231894583574,1
23,-0.37009575722831195,-0.38012468668279886,-0.2829275490356903,0.4043154457506678,0.5253471479518149,-0.2842396376567221,-0.0713994445294079,-0.09786318032097119,0.08875546867415653,-0.17261866904825884,-0.2566783143128123,0
24,-0.5209816520779054,-0.01952828418799456,-0.17481138940896213,0.5691525092460147,-0.22122373169459897,-0.02594981462595497,-0.1005085841754959,-0.13776143164420268,0.32466592899613606,-0.24299429978272508,-0.36132457514438915,0
25,-0.09838333584961201,-0.03561568164307343,-0.0531839364145847,0.10950103377104342,0.14228013397457007,0.15698100297759593,0.16488873646549065,0.9331551267093664,-0.026168057281880177,0.07458900664986066,0.158529145859586,1
